StartDate,EndDate,Type,Filename,Mileage,Gain,Count,Link
2020-02-05,2020-02-09,hike,2020 - Hot Springs Trail Section 1.json,57,10300,,https://www.firstchurchofthemasochist.com/2020/02/section-hiking-hot-spring-trail-santa.html
2020-01-12,2020-01-16,hike,2020 - Desert Trail Border to 78.json,54.9,3254,,https://www.firstchurchofthemasochist.com/2020/01/section-hiking-desert-trail-mexican.html
2019-12-26,2019-12-26,dive,2019 - San Marcos River Texas Diving.json,,,3,https://www.firstchurchofthemasochist.com/2019/12/diving-san-marcos-river-and-comal-river.html
2019-10-28,2019-12-23,dive,2019 - Thailand Similan Islands DMT | Similan Quest Liveaboard.json,0,0,90,https://www.firstchurchofthemasochist.com/search/label/divemaster%20trainee
2019-08-26,2019-09-19,hike,2019 - Theodore Solomons Trail.json,288,61000,,https://www.firstchurchofthemasochist.com/2019/09/matts-guide-to-theodore-solomons-trail.html
2019-08-04,2019-08-15,hike,2019 - John Muir Trail.json,220,50000,,https://www.firstchurchofthemasochist.com/2019/08/john-muir-trail-plus-half-dome-whitney.html
2019-07-10,2019-07-10,dive,2019 - Homestead Crater Diving.json,,,1,https://www.firstchurchofthemasochist.com/2019/07/warm-water-scuba-diving-at-homestead.html
2019-07-23,2019-07-23,dive,2019 - Vancouver Island Diving.json,,,2,https://www.firstchurchofthemasochist.com/2019/07/diving-vancouver-island-hmcs.html
2019-07-20,2019-07-22,paddle,2019 - Sayward Forest Canoe Route.json,32.2,0,,https://www.firstchurchofthemasochist.com/2019/07/sayward-forest-canoe-route-vancouver.html
2019-06-26,2019-07-13,dive,2019 - Komodo | Mermaid 2 Liveaboard.json,0,0,20,
2019-03-30,2019-04-04,hike,2019 - Buckskin Gulch To Paria Canyon To Lee's Ferry.json,66.7,,,https://www.firstchurchofthemasochist.com/2019/03/slotting-it-up-backpacking-buckskin.html
2019-01-12,2019-01-13,dive,2019 - Nevada Diving.json,,,2,https://www.firstchurchofthemasochist.com/search/label/Nevada%20%2719%20Diving
2018-12-15,2010-01-08,hike,2018 - SoCal Diving.json,,,,https://www.firstchurchofthemasochist.com/search/label/SoCal%20Diving
2018-12-26,2019-01-02,hike,2018 - Florida Dive Trip.json,,,15,https://www.firstchurchofthemasochist.com/search/label/New%20Years%202019%20Trip
2018-06-30,2018-07-04,paddle,2018 - San Juan Islands Paddle.json,63.8,0,,https://www.firstchurchofthemasochist.com/2018/06/san-juan-islands-washington-5-day.html
2018-03-30,2018-04-03,hike,2018 - Trans Catalina Trail+.json,61,14000,,https://www.firstchurchofthemasochist.com/2018/03/backpacking-trans-catalina-trail-in.html
2016-05-28,2016-05-30,hike,2016 - Memorial Day Massacre: Durrwood Rincon Edition.json,32,7550,,https://www.firstchurchofthemasochist.com/2016/05/memorial-day-massacre-2016-durrwood.html
2013-09-14,2013-09-22,hike,2013 - John Muir Trail Abort.json,181.4,0,,https://www.firstchurchofthemasochist.com/2013/09/john-muir-trail-happy-isles-to.html
